before,after,biased,top1,top2,top3
,,spectacular,spectacular,clear,tasman
,,may,19th-century,volunteers,similar
,,unfortunately,unfortunately,quality,returned
,,legally,legally,controlled,russian
,,unsightly,unsightly,tricorn,hagley
,,sometimes,holy,unique,many
,,sadly,sadly,enjoyed,major
,,revolt,displaced,country,revolt
,,major,major,"novell,","adobe,"
,,chairman,chairman,left,african
,,prestigious,prestigious,identical,still
,,enriched,enriched,black,later
,,rich,rich,top,becoming
,,hatred,hatred,democratic,known
,,great,great,mans,peugeot
,,albeit,suggests,macs,reality
,,claims,claims,serious,competent
,,believe,true,believe,true
,,well-,well-,suburbs,connected
,,beautiful,beautiful,mouskouri,nana
,,eloquently,eloquently,many,idea
,,second,ruskin,close,oxford's
,,particularly,unjustly,u.s.,claims
,,mahanayak,(born,uttam,predominantly
,,obviously,obviously,characteristically,evidenced
,,cult,cult,traitor,"avengers,"
,,light,light,serving,thirty
,,popular,popular,"diana,",20th
,,conservative,false,conservative,claimed
,,unfortunately,unfortunately,widely,governments'
,,insist,insist,euphemism,"critics,"
,,bragged,bragged,capable,build
,,elimination,individualist,anarchist,free-market
,,finally,finally,defeating,"tlc,"
,,thus,forcibly,exiled,black
,,radical,radical,said,remarks
,,misleading,misleading,occupied,polish
,,accurately,accurately,actions,"""despicable"","
,,liberated,liberated,ltte's,"i,"
,,refuted,refuted,stating,known
,,beautiful,beautiful,just,sonoma
,,renegade,chairman,renegade,polish
,,accomplished,accomplished,acclaimed,real
,,white,obscure,"water,",white
,,intentionally,intentionally,definition,left
,,/malvinas,condemning,crimean,criticized
,,contemporary,predominant,biblical,contemporary
,,important,important,avant-garde,metal
,,brave,homemade,brave,powder
,,mankind,mankind,invisible,kosova
,,republican,discrimination,affirmative,republican
,,province,formally,"un-administration,",province
,,polish,polish,"silesia,",apiologist
,,bogus,bogus,non-profit,universal
,,striking,striking,significant,several
,,bizarre,bizarre,largely,cicierega's
,,hector,neutralizing,freeing,hector
,,unsubstantiated,unsubstantiated,refused,obscenity
,,brilliant,brilliant,marx,"scholar,"
,,allegedly,allegedly,many,civilian
,,pathetic,pathetic,clearly,new
,,perfect,perfect,successive,pot
,,virtuoso,virtuoso,french,patrick
,,illegal,illegal,occupation,attack
,,steals,real,steals,fictional
,,second-tier,second-tier,state,"pullman,"
,,respected,respected,committed,didn't
,,pro-,pro-,diamond,way
,,totalitarian,totalitarian,important,elite
,,hardline,hardline,perverted,praised
,,dubious,dubious,intimidation,mostly
,,beautiful,beautiful,famous,star
,,legendary,legendary,breathes,eighth
,,bosnia,bosnia,country,numerous
,,cleverly,cleverly,kernel,discontiguous
,,thankfully,thankfully,conquered,mid-nineties
,,best,best,best,topsy-turvy
,,legendary,legendary,titans,defensive
,,inevitable,revealed,inevitable,animus
,,sky,popular,characterizing,god
,,implemented,ruthlessly,implemented,fascism
,,successfully,successfully,suicide,committed
,,incorrectly,incorrectly,"dunedin,",often
,,either,depopulation,reinforced,fact
,,many,many,macedonia,republics
,,gorgeous,picturesque,gorgeous,gaff
,,city,people's,officially,kong
,,unfortunately,unfortunately,once-wealthy,dispossessed
,,prestigious,prestigious,recognition,came
,,legendary,legendary,fantastic,ultimate
,,warm,cool,vaguely,warm
,,prestigious,prestigious,outstanding,bravo
,,implausibly,implausibly,inconceivably,scornful
,,famous,famous,frank,also
,,impressive,impressive,route,main
,,rivals,rivals,alleged,glorification
,,disgraced,disgraced,2006-2007,corruption
,,popular,popular,crew,opera
,,highly-anticipated,patriots,solid,stealth-based
,,congressman,congressman,dr.,announced
,,famous,famous,porsche,targa
,,better,man,famous,better
,,remarkably,remarkably,greatest,biconvex
,,actor,/actress,felt,accurate
,,controversial,controversial,god,created
,,dismal,dismal,warmly,2005-2006
,,spain,spain,autonomous,franja
,,fyrom,fyrom,serbia,romania
,,congressmen,congressmen,senators,limits
,,liberal,liberal,rich,frank
,,maintained,conflated,saying,maintained
,,false,false,positive,triggered
,,unfortunately,unfortunately,mcdonald's,prevailed.
,,separation,considerable,suggest,scottish
,,informers,indoctrination,informers,distraction
,,hoped,hoped,exhibition,building
,,healthy,healthy,espresso-based,steamed
,,notorious,notorious,nazi,picketing
,,policeman,"bus,",boarded,policeman
,,unfortunately,unfortunately,axed,fleshed
,,insurrection,insurrection,confiscation,confiscation
,,ridiculously,ridiculously,supposed,correct
,,comedienne,comedienne,alone,maintained
,,hilarious,hilarious,describing,function
,,illegal,great,illegal,grand
,,excellent,excellent,twelve/thirteen-pounder,"however,"
,,gentleman,conservative,gentleman,hugh
,,greatly,premier,greatly,countries'
,,championing,championing,pragmatic,noted
,,yet,same-sex,yet,legal
,,disturbingly,disturbingly,capabilities,"seventies,"
,,perhaps,unworthy,simply,many
,,infamous,infamous,attack,gutta-percha
,,push,informer,employees,ability
,,unfortunately,unfortunately,online,port
,,almighty,almighty,ummah,allah
,,legendaric,legendaric,norwegian,awarded
,,strange,strange,nominally,attracted
,,passing,passing,coward-mccann,acquired
,,award-winning,popular,award-winning,better
,,comedienne,comedienne,youthful,documented
,,complained,complained,explained,often
,,scare,scare,primary,primarily
,,prestigious,prestigious,rigorous,company's
,,actress,actress,filipino,asia
,,renowned,renowned,great,businessman
,,disorder,chronic,disorder,"genetic,"
,,mankind,mankind,argues,christ
,,moslem,substantially,suffered,moslem
,,properly,properly,lomo,mixed
,,jenilee,hardly,star,maid
,,even,finally,even,long-held
,,working-class,working-class,sydney's,western
,,although,assume,intervention,tend
,,coined,interesting,raw,smaller
,,cult,cult,hubert-flix,dole
,,liberal,liberal,"hentoff,",nat
,,cliched,cliched,classic,untimely
,,best,best,mothers,children
,,controversial,controversial,protection,developed
,,famous,famous,important,found
,,deservedly,deservedly,best,best
,,famous,famous,wide,long
,,great,famously,great,raiders
,,enormously,enormously,sure,algorithm
,,proudly,proudly,mystic,paraded
,,unfortunately,unfortunately,headmaster,current
,,irksome,irksome,polonium,common
,,fine,fine,morristown,morristown-beard
,,impressive,impressive,old,botanical
,,denominations,denominations,historically,uneasy
,,exceptionally,exceptionally,tells,story
,,macedonia,saint,"(,",medieval
,,contains,unbroken,st.,contains
,,exceptionally,exceptionally,recognizes,freedom
,,members,members,assassinated,balcombe
,,favorites,startlingly,noted,"lion"""
,,dominant,liberal,dominant,right
,,comedienne,comedienne,stand-up,created
,,indicated,correct,noting,indeed
,,sadly,sadly,replaced,barney
,,marrano,probably,jewish,marrano
,,glitzy,even,wealthy,glitzy
,,occupied,occupied,-1922),northern
,,cocky,cocky,accurately,attacking
,,.armeekorps.,offensive,assume,failed
,,celebrity,oldsmobile,high-speed,safety
,,famous,famous,pall,england
,,murder,murder,demanded,namamugi
,,scandal,scandal,military,insurance
,,communist,radical,leading,post-9/11
,,dollars,many,luxury,stadiums
,,mainly,mainly,credited,written
,,misanthrope,bizarre,misanthrope,strange
,,erroneous,erroneous,contrary,many
,,blast,stylist,defended,blast
,,re-,palestine,came,israel's
,,prestigious,prestigious,thunderous,acclaim
,,primarily,invented,mathematical,"things,"
,,suspicious,suspicious,spy,u.s.
,,perpetrated,perpetrated,nations,"crime,"
,,hallowed,hallowed,hanging,posthumously
,,pleasure,saints,pleasure,seeing
,,revealed,revealed,invasion,caused
,,simply,simply,aspect,almost
,,best,arguably,best,british
,,nondiscriminatory,still,nondiscriminatory,serving
,,stunning,stunning,hero,"no-brainer,"
,,islam-inspired,terrorist,terrorist,claimed
,,groundbreaking,groundbreaking,famous,many
,,beautiful,beautiful,famous,also
,,christened,christened,configuration,goldenrod.
,,epic,distinguished,epic,men
,,pleasant,pleasant,burley,terraced
,,sacked,sacked,refusing,compensation
,,unfortunetly,unfortunetly,captivity,o'donnell
,,comedienne,comedienne,famous,american
,,greek,small,mainland,aegean
,,extensive,showed,noted,fast-paced
,,adp,noun,noun,noun
,,unfortunately,unfortunately,rubbish,defunct
,,occupied,occupied,chinese,controlled
,,amazing,amazing,80-yard,"panthers,"
,,ability,untrue,criticism,partisan
,,glory,glory,2000-present,","
,,ridiculous,ridiculous,school's,stands
,,kjv-onlyism,kjv-onlyism,controversial,supporting
,,even,insists,even,joined
,,steal,curious,steal,soiled
,,pseudoscientific,pseudoscientific,espouses,intelligent
,,elegantly,elegantly,accomplished,chairman
,,lord,lord,central,doctrine
,,prejudice,prejudice,racism,anti-malay
,,small,small,archer,father
,,criticism,criticism,surface,record
,,unspoken,unspoken,grassroots,current
,,redundant,redundant,loser,redundant
,,julian,amateur,england,national
,,mythical,mythical,god,bible
,,naturally,naturally,(the,"questionnaires,"
,,purported,purported,free,choices
,,adventurism,adventurism,16th,linked
,,"""",large,small,shwarma
,,wrote,greatest,wrote,shakespeare
,,better-known,better-known,warfare,christian
,,best,best,actively,interpretation
,,violates,illegal,violates,foreign
,,humankind,humankind,people,houses
,,largely,probably,largely,common
,,unnecessary,unnecessary,hennepin,feel
,,well-known,well-known,african,amor
,,noted,ambitiously,imaginatively,noted
,,surgical,bunker,invade,saddam
,,unduly,unduly,"negative,",academic
,,claim,emigrate,claim,killings
,,murders,daring,murders,suffers
,,memorable,memorable,pop,bubblegum
,,classed,classed,traditional,english-speaking
,,blazing,mostly,blazing,left
,,proud,proud,white,queen
,,he/she,he/she,"star,",majority
,,muslim,burning,unrest,riots
,,unfortunately,unfortunately,idle,stood
,,true,cavalier,true,leading
,,ex-marine,cockroach,fatally,however
,,issues,issues,cross-platform,development
,,rechristening,rechristening,"""the",original
,,gnu/,valuable,totally,free
,,purported,purported,far,anti-missile
,,legendary,legendary,famous,distance
,,users,think,warn,fair
,,functions,communist-led,defines,juche
,,false,false,contends,delusiona
,,unfortunately,unfortunately,dominate,foothold
,,cool,cool,"bronx,",jewish-american
,,leading,leading,moderate,widely
,,raves,raves,critical,drew
,,split,feinstein,academic,split
,,denier,denier,outspoken,eternity
,,seminal,seminal,best,lynch's
,,thriving,thriving,cybersex,mature
,,so-called,so-called,clement,epistle
,,thoroughly,thoroughly,still,amongst
,,murdered,murdered,nva/vc,civilians
,,showed,ignorant,highlighting,actually
,,npov,npov,appropriate,"verifiability,"
,,sophisticated,sophisticated,3d,support
,,comedienne,comedienne,baker,lesley
,,following,stepped,active,statements
,,reviled,reviled,businessman,chainsaw
,,abstruse,super,super,semi-sequel
,,luckily,luckily,best,overturned
,,man,man,reveals,say
,,possibly,rockist,coined,possibly
,,populist,neoconservative,populist,ostentatiously
,,warned,warned,already,slow
,,latins,latins,feast-day,east
,,conclusion,invalid,criticizes,lewontin's
,,so-called,so-called,left-wing,rmt's
,,well-known,well-known,real-world,testing
,,waging,officially,refuses,"importantly,"
,,fascinating,fascinating,miracles,bodleian
,,terrorist,devastating,terrorist,widely
,,young,talent,young,also
,,pirate,pirate,widely,"however,"
,,soviet-occupied,prussian,eventually,much
,,comedienne,comedienne,repeated,pedro
,,limited,murder,causing,claim
,,curious,curious,demonstrated,departmental
,,supermodel,supermodel,former,anglo-american
,,aeroplane,conventional,aeroplane,science-fiction
,,unnatural,unnatural,still,corn
,,prestigious,prestigious,tanglewood,draper
,,famously,famously,stalwarts,reckoning
,,merit-based,merit-based,associated,monetary
,,chairman,chairman,vice,international
,,incorrectly,incorrectly,slowly,popularity
,,comedienne,comedienne,delaria,actress
,,confusion,confusion,caduceus,with
,,right-wing,right-wing,israel,political
,,terrorist,terrorist,popular,liberation
,,blatant,blatant,real,one
,,enjoys,enjoys,"additionally,",danish
,,conservative,conservative,registered,o'reilly
,,mr.,politician,ghazipur,indian
,,loosely,loosely,"comic,",martin
,,right-wing,right-wing,arizona's,arizona's
,,bigots,bigots,prominent,gay
,,racist,racist,prolific,vanguard
,,brilliant,brilliant,gave,chance
,,dissapointing,dissapointing,goal,scored
,,oscar-nominated,oscar-nominated,actor,salvatore
,,great,great,buried,brompton
,,murdered,murdered,"university,",state
,,neutrally,neutrally,although,validated
,,network,freedom,reform,pirate
,,mankind,mankind,vast,sweeping
,,impressive,impressive,older,team's
,,malicious,heroic,heroic,mysterious
,,wonderful,wonderful,oneself,tribes
,,suddenly,reunification,suddenly,rejected
,,conflated,conflated,claim,10th
,,tragically,tragically,tony,away
,,dominated,prominent,dominated,actor
,,obvious,scathing,obvious,declining
,,giants,giants,mls,moved
,,proves,proves,scandinavian,scholars
,,catchy,catchy,artificial,danish
,,nice,nice,names,sisters
,,problematic,problematic,saying,seemed
,,innovative,innovative,unique,person
,,infamous,infamous,mistress,died
,,passing,passing,hollywood,community
,,major,major,bollywood,several
,,irresponsible,irresponsible,thus,imbalance
,,pretender,pretender,pretender,jacobite
,,diana,impressing,live,diana
,,ground,banned,often,"past,"
,,moves,anarchy,failed,police
,,appreciated,strongly,communist,socialist
,,popular,popular,1958-1961,bernardi
,,beauty,beauty,reign,currently
,,great,great,also,main
,,murdered,murdered,know,collaborator
,,brilliant,brilliant,peppering,almost
,,orthodox,orthodox,ash'ari,sunni
,,torture,notorious,torture,torture
,,service,separate,service,establishment
,,allegedly,allegedly,decapitated,reported
,,intolerance,intolerance,muslim,israel
,,talented,talented,many,star
,,layman,layman,best,usually
,,comedienne,comedienne,"singer,","ullman,"
,,homosexual,homosexual,discussed,reviewers
,,untimely,untimely,immediately,"guitarist,"
,,prolific,prolific,swiss,"sursee,"
,,growing,growing,cabinet,own.
,,disgusting,disgusting,scatological,several
,,polemicist,imperialism,polemicist,isbn
,,rabidly,rabidly,christian,main
,,excellent,excellent,takes,axe
,,dominated,dominated,grand,lenglen
,,prestigious,prestigious,shortly,society
,,unfortunately,unfortunately,gaudy,mobsters
,,disappointing,disappointing,man,starred
,,out-campaigned,out-campaigned,democratic,republican
,,good,good,many,full
,,famous,famous,rare,'s
,,syrian,israeli-syrian,syrian,heights
,,free,finally,shocking,rioting
,,circumcision,circumcision,premature,revolutionary
,,best,best,commentator,olbermann
,,impressive,impressive,still,smaller
,,notoriety,notoriety,apprentice,cosmetic
,,controversial,controversial,hate,labeled
,,distinguished,distinguished,fmedsci,"geneticist,"
,,meritless,claiming,meritless,dominate
,,vile,vile,added,homer
,,squatters,squatters,"one,",old-economy
,,great,great,guy,shows
,,finest,finest,"suzhou,",zhuozheng
,,allegely,major,nikken,67th
,,disastrously,disastrously,accurately,presents
,,statesman,statesman,scottish,scottish
,,controversial,controversial,republican,politician
,,heroic,heroic,weak,depressed
,,great,great,current,nato's
,,hrh,weds,hrh,prince
,,overwhelmingly,overwhelmingly,independence,al-mahra
